,name,acp_type,election_year,dem_votes,oth_votes,rep_votes
0,ADAMS,Rural Middle America,2000,11682,903,20848
1,ALLEGHENY,Urban Suburbs,2000,329963,17154,235361
2,ARMSTRONG,Rural Middle America,2000,11127,788,15508
3,BEAVER,Middle Suburbs,2000,38925,2177,32491
4,BEDFORD,Rural Middle America,2000,5474,363,13598
5,BERKS,Middle Suburbs,2000,59150,4740,71273
6,BLAIR,Middle Suburbs,2000,15774,990,28376
7,BRADFORD,Rural Middle America,2000,7911,759,14660
8,BUCKS,Exurbs,2000,132914,8581,121927
9,BUTLER,Middle Suburbs,2000,25037,1778,44009
10,CAMBRIA,Rural Middle America,2000,30308,1977,28001
11,CAMERON,Graying America,2000,779,84,1383
12,CARBON,Working Class Country,2000,10668,892,9717
13,CENTRE,College Towns,2000,21409,1957,26172
14,CHESTER,Exurbs,2000,82047,5435,100080
15,CLARION,Rural Middle America,2000,5605,442,9796
16,CLEARFIELD,Rural Middle America,2000,11718,872,18019
17,CLINTON,Rural Middle America,2000,5521,409,6064
18,COLUMBIA,Rural Middle America,2000,8975,824,12095
19,CRAWFORD,Rural Middle America,2000,13250,1213,18858
20,CUMBERLAND,College Towns,2000,31053,2207,54802
21,DAUPHIN,College Towns,2000,44390,2637,53631
22,DELAWARE,Urban Suburbs,2000,134861,7380,105836
23,ELK,Rural Middle America,2000,5754,477,7347
24,ERIE,Rural Middle America,2000,59399,3909,49027
25,FAYETTE,Rural Middle America,2000,28152,1367,20013
26,FOREST,Graying America,2000,843,69,1371
27,FRANKLIN,Rural Middle America,2000,14922,1005,33042
28,FULTON,Rural Middle America,2000,1425,107,3753
29,GREENE,Working Class Country,2000,7230,514,5890
30,HUNTINGDON,Graying America,2000,5073,476,10408
31,INDIANA,Rural Middle America,2000,13667,935,16799
32,JEFFERSON,Rural Middle America,2000,5566,535,11473
33,JUNIATA,Rural Middle America,2000,2656,216,5795
34,LACKAWANNA,Middle Suburbs,2000,57471,3814,35096
35,LANCASTER,Middle Suburbs,2000,54968,4449,115900
36,LAWRENCE,Middle Suburbs,2000,20593,987,18060
37,LEBANON,Middle Suburbs,2000,16093,1253,28534
38,LEHIGH,Middle Suburbs,2000,56667,4121,55492
39,LUZERNE,Middle Suburbs,2000,62199,5059,52328
40,LYCOMING,Rural Middle America,2000,14663,1383,27137
41,MCKEAN,Rural Middle America,2000,0,0,0
42,MERCER,Rural Middle America,2000,23817,1776,23132
43,MIFFLIN,Rural Middle America,2000,4835,379,9400
44,MONROE,Exurbs,2000,21939,1674,23265
45,MONTGOMERY,Urban Suburbs,2000,177990,8809,145623
46,MONTOUR,Rural Middle America,2000,2356,176,3960
47,NORTHAMPTON,Middle Suburbs,2000,53097,4197,47396
48,NORTHUMBERLAND,Rural Middle America,2000,13670,1439,18142
49,PERRY,Rural Middle America,2000,4459,428,11184
50,PHILADELPHIA,Big Cities,2000,449182,11039,100959
51,PIKE,Exurbs,2000,7330,695,9339
52,POTTER,Graying America,2000,2037,195,4858
53,SCHUYLKILL,Rural Middle America,2000,26215,2244,29841
54,SNYDER,Rural Middle America,2000,3536,342,8963
55,SOMERSET,Rural Middle America,2000,12028,739,20218
56,SULLIVAN,Graying America,2000,1066,111,1928
57,SUSQUEHANNA,Rural Middle America,2000,6481,564,10226
58,TIOGA,Rural Middle America,2000,4617,520,9635
59,UNION,Rural Middle America,2000,4209,443,8523
60,VENANGO,Rural Middle America,2000,8196,685,11642
61,WARREN,Working Class Country,2000,7537,714,9290
62,WASHINGTON,Middle Suburbs,2000,44961,2141,37339
