"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2008 General Election","ADAMS","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","17,633","0","0","","","","","","","","",""
"2008 General Election","ADAMS","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","26,349","0","0","","","","","","","","",""
"2008 General Election","ADAMS","President of the United States","StateWide","Independent","NADER                    , RALPH","355","0","0","","","","","","","","",""
"2008 General Election","ADAMS","President of the United States","StateWide","Libertarian","BARR                     , BOB","154","0","0","","","","","","","","",""
"2008 General Election","ALLEGHENY","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","373,153","0","0","","","","","","","","",""
"2008 General Election","ALLEGHENY","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","272,347","0","0","","","","","","","","",""
"2008 General Election","ALLEGHENY","President of the United States","StateWide","Independent","NADER                    , RALPH","3,927","0","0","","","","","","","","",""
"2008 General Election","ALLEGHENY","President of the United States","StateWide","Libertarian","BARR                     , BOB","2,009","0","0","","","","","","","","",""
"2008 General Election","ARMSTRONG","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","11,138","0","0","","","","","","","","",""
"2008 General Election","ARMSTRONG","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","18,542","0","0","","","","","","","","",""
"2008 General Election","ARMSTRONG","President of the United States","StateWide","Independent","NADER                    , RALPH","263","0","0","","","","","","","","",""
"2008 General Election","ARMSTRONG","President of the United States","StateWide","Libertarian","BARR                     , BOB","138","0","0","","","","","","","","",""
"2008 General Election","BEAVER","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","40,499","0","0","","","","","","","","",""
"2008 General Election","BEAVER","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","42,895","0","0","","","","","","","","",""
"2008 General Election","BEAVER","President of the United States","StateWide","Independent","NADER                    , RALPH","826","0","0","","","","","","","","",""
"2008 General Election","BEAVER","President of the United States","StateWide","Libertarian","BARR                     , BOB","268","0","0","","","","","","","","",""
"2008 General Election","BEDFORD","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","6,059","0","0","","","","","","","","",""
"2008 General Election","BEDFORD","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","16,124","0","0","","","","","","","","",""
